time,seconds_elapsed,relativeAltitude,pressure
1670841456516415500,233.02241552734375,-584.700927734375,754.085693359375
1670841456556417000,233.0624169921875,-585.081298828125,754.121826171875
1670841456596416000,233.102416015625,-585.345703125,754.146728515625
1670841456636416000,233.142416015625,-584.806640625,754.095703125
1670841456676416000,233.182416015625,-585.38525390625,754.150390625
1670841456716415500,233.22241552734374,-584.600341796875,754.076171875
1670841456756416300,233.26241625976562,-584.78271484375,754.093505859375
1670841456796417000,233.3024169921875,-583.712646484375,753.9921875
1670841456836415700,233.34241577148438,-584.26220703125,754.044189453125
1670841456876416500,233.38241650390626,-583.1630859375,753.9404296875
1670841456916416500,233.42241650390625,-583.165771484375,753.940673828125
1670841456956416300,233.46241625976563,-582.737548828125,753.900146484375
1670841456996416000,233.502416015625,-583.95849609375,754.015625
1670841457036416000,233.542416015625,-583.398193359375,753.962646484375
1670841457076415700,233.58241577148436,-583.718017578125,753.992919921875
1670841457116416000,233.622416015625,-583.49853515625,753.97216796875
1670841457156416500,233.66241650390626,-584.04296875,754.0234375
1670841457196416000,233.702416015625,-583.609619140625,753.982666015625
1670841457236416500,233.74241650390624,-584.040283203125,754.023193359375
1670841457276415200,233.78241528320314,-583.95849609375,754.015625
1670841457316415200,233.82241528320313,-583.548828125,753.976806640625
1670841457356415500,233.86241552734376,-584.1513671875,754.03369140625
1670841457396416300,233.90241625976563,-584.272705078125,754.045166015625
1670841457436416800,233.94241674804687,-584.072021484375,754.0263671875
1670841457476416500,233.98241650390625,-584.227783203125,754.041015625
1670841457516415700,234.02241577148436,-584.161865234375,754.034912109375
1670841457556415700,234.06241577148438,-584.034912109375,754.022705078125
1670841457596416500,234.10241650390626,-584.753662109375,754.0908203125
1670841457636416000,234.142416015625,-584.745849609375,754.090087890625
1670841457676415500,234.18241552734375,-584.341552734375,754.0517578125
1670841457716416000,234.222416015625,-584.251708984375,754.043212890625
1670841457756415700,234.26241577148437,-585.2822265625,754.140869140625
1670841457796416500,234.30241650390624,-585.509521484375,754.162109375
1670841457836416000,234.342416015625,-586.531982421875,754.259033203125
1670841457876416000,234.382416015625,-586.743408203125,754.279052734375
1670841457916415700,234.42241577148437,-586.986328125,754.302001953125
1670841457956416000,234.462416015625,-586.978515625,754.30126953125
1670841457996415700,234.50241577148438,-586.03515625,754.2119140625
1670841458036415700,234.54241577148437,-585.992919921875,754.2080078125
1670841458076416000,234.582416015625,-586.428955078125,754.249267578125
1670841458116416300,234.62241625976563,-587.28759765625,754.330322265625
1670841458156416000,234.662416015625,-587.155517578125,754.31787109375
1670841458196416500,234.70241650390625,-586.954833984375,754.298828125
1670841458236416800,234.74241674804688,-586.2333984375,754.230712890625
1670841458276415700,234.78241577148438,-586.352294921875,754.241943359375
